rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
142,FALSE,FALSE,DuSqueeky,95,Slayer,dce02cc80c8273f43403ed6bc01d4167b271b5eceafbafad654f70421d310bd0,2885581225,Squeeky2500,26,null,SSF Harbinger
143,FALSE,FALSE,Sarkhan_Adeptus_Typhon,100,Ascendant,1562f186cd49b11863be094f4a4f0324833d969425cff415648a9b49a5b33491,4250334444,Sark,36,poe_sark,Hardcore Harbinger
143,FALSE,FALSE,GayIdiotGirl,100,Pathfinder,2ac9b9b7c4410027b9020fb393da8657943faccc28ac163e356b83eb0a3cddfb,4250334444,Onoxlol,40,yoonahrs,Harbinger
143,FALSE,FALSE,HaeuptlingRoteSocke,95,Hierophant,8cd84b7e6b130379a680cea8ab2ab4b989ecdf43c9d8291f7469de4199710ec4,2884776098,Deathtiny2266,25,null,SSF Harbinger
143,FALSE,FALSE,HDB_shaper,94,Guardian,9f0b004dbe62a9e7619c18aa4b8f978a175eaa6aa02adfcdffbe57485a1c7ec6,2728572189,HumDaBum,29,null,SSF Harbinger HC
144,FALSE,FALSE,ReimemonSteRS,100,Necromancer,5159763b8a91a4ec2e719c41700bbedbd8714344c5100b2dc59e1460575bd389,4250334444,beetz,40,ssszbeetz,Harbinger
144,FALSE,FALSE,Kodas_,100,Champion,9e36112068a5fd6e1afb5bb2d4afec563fd029d2537bcd092418ed7449830029,4250334444,Kodas88,36,null,Hardcore Harbinger
144,FALSE,FALSE,WutItDoBaby,94,Gladiator,9ec7b14c503e07d444754b1b767af37f9b08c582fb9f27197a21a3224c7ed548,2727354101,Ryyyder,30,ryderlol,SSF Harbinger HC
144,FALSE,TRUE,mkjhyui,95,Juggernaut,c1467b3125d76f73426b9cf70cbc0aa5fb1a3287308f3b93d486bb7ce153127c,2883273141,esukein,27,null,SSF Harbinger
145,TRUE,FALSE,ADEADEAWDW,94,Gladiator,0bab2c7728dc57d2440e34e02afaa5d4766b0baf47408d50965e86b19b99c10e,2724150337,wan001001,26,null,SSF Harbinger HC
145,FALSE,FALSE,Маринованный_Пылесосик,100,Necromancer,293dc5ae41387cc49041c40c984a4fb1eb03f9347e4129dfb4f9db5b1f5ac052,4250334444,Path_of_DerroK,37,alliser_thorne,Hardcore Harbinger
145,FALSE,FALSE,GayRainbow,100,Pathfinder,4232e444eafc97431f3fc3aa7da8c2733539591d511c615f57b0283bd505e9c4,4250334444,xpstephen,36,xpstephen,Harbinger
145,FALSE,FALSE,AllRaiderAllTheTime,95,Raider,e75e388352f18bcceab108c89e6d74386c17318d37cd58a334cf7ac11537d9f3,2883105630,SoundChaser83,27,soundchaser83,SSF Harbinger
146,FALSE,FALSE,Hesso_Back,100,Necromancer,5a55bea06a4534088bbedbe60103d75d10dddb85c86578466a4a08cfd1633104,4250334444,hesso,28,hesso_,Hardcore Harbinger
146,TRUE,FALSE,Priparka,94,Inquisitor,5f533ff776ce08c3186088531b8befb8dc5b9a4413b8d80f91315395d840ca94,2723393622,jiomio1,24,gabejia,SSF Harbinger HC
146,FALSE,FALSE,DerAbsoluteBurner,95,Berserker,72c7b9283e0865317bbeb520f7060d1971028f3523134307b8ee04a609830b43,2882631635,BVB_1909,36,null,SSF Harbinger
146,FALSE,FALSE,FixyTrixyBlessMoreRNG,100,Pathfinder,81549169c3fa7a7718eaddc9ada4a55585ab466bcd915cbd61272f6e868bb688,4250334444,Fixy-Trixy,40,fixytrixy,Harbinger
147,FALSE,FALSE,GladiatorMia,95,Gladiator,36bfd521b3b765b69654623955ec941f85da7538e68e1e5503fd3a7f05f0990b,2881695146,MultiMia,40,null,SSF Harbinger
147,FALSE,FALSE,WickedKid,100,Pathfinder,6ebb63485f33536f5cc71c41525a3683315f656fe92359cb4308c74dcc65f072,4250334444,Fenriss1994,34,wickedk1d,Harbinger
147,FALSE,FALSE,Rite_of_Ruin,94,Berserker,81b3b1e6637213de48509d093040803f004cd73f468b7f5eec127fceb388e544,2718689363,Crusader_of_Sorrow,38,null,SSF Harbinger HC
147,FALSE,FALSE,SlayThemAllSlayer,100,Slayer,bc261ffb045c9f60d58f20a79d959c7672e93982479a574e7018f5e508e0ce4a,4250334444,k0RsAr,26,gotfrag321,Hardcore Harbinger
148,FALSE,FALSE,MyBuffsNowTriHard,100,Inquisitor,26d97d4ff2064ce3e875523ea8f3c7b30feaf45eb4a131e97a6fa9f3753df779,4250334444,ooohNo,37,null,Harbinger
148,FALSE,FALSE,BALLS_HANGIN_DEEEEEEP,100,Inquisitor,4ff79462dff12764f9f833ebc3bd11ed70e748dd54b1cf628245bbde77e19121,4250334444,HardcoreNP,39,null,Hardcore Harbinger
148,TRUE,FALSE,BogokFullSpeedLowCost,94,Champion,67f8f6f73ae19987dd861f764220de91f49083bb2b281144d4088f6e97f93593,2715452691,Bogok,35,bogurk,SSF Harbinger HC
148,FALSE,FALSE,Yrungr,95,Berserker,cc9f04e750ade9c661b44490bac45ea0441fe41816ee5fbad807007ea002bc8f,2881362868,Kaesetorte,36,null,SSF Harbinger
149,FALSE,FALSE,ImpuritiiSMASH,95,Slayer,5445b7aa7ebf08c57f06cdc872f7b3ddd5aad4a46c1f2dcd3305dd272affc45a,2881215976,impuritii,30,impuritii,SSF Harbinger
149,FALSE,FALSE,MemeGulpyWonder,100,Pathfinder,82c9cc0e7288c681b91e4a2777450de8034404fc23ad2fd731099650e95fd91b,4250334444,kaunet,40,null,Harbinger
149,FALSE,FALSE,Bhananajo,94,Chieftain,8b22e7d4c6965a3c509b9573400c967780331bb4ca818a7e3c1b1a77b518848e,2711601908,DarkShaggy,28,null,SSF Harbinger HC
149,TRUE,FALSE,ccasinCopiesDan_SR_RF,100,Guardian,a12a98d5dee8c55a965959c04a9d755475070404986a96f66ba033c96cade6b1,4250334444,ccasin,40,ccasin,Hardcore Harbinger
150,TRUE,FALSE,WereAllGonnaMakeItThree,94,Occultist,56546a36a466517564225c924e466185231756fc8324a2aca01e5dbcc35d8afb,2710007058,renoshook,31,null,SSF Harbinger HC
150,FALSE,FALSE,Alloces_HSC_SSF,95,Gladiator,74067f50f1074fbcf6b5c79364cb3070a3112efc33e0ae3ebe1e490836943493,2880810451,alloces77,38,null,SSF Harbinger
150,FALSE,FALSE,IconOfVelocity,100,Ascendant,91e521d7ee566c525d41b524736fde0480a1779ccf3ff0ddb68cdf0e35631c13,4250334444,StupidFatHobbit,30,sfhobbit,Hardcore Harbinger
150,FALSE,FALSE,Convjefe,100,Pathfinder,a42760b0b4c55fe831145226ae024699b65451d35feb5f0f8a5f8c4e0bd98d8b,4250334444,WheezyX,37,null,Harbinger
151,FALSE,FALSE,Mirlott,95,Raider,33c5a99043788cd9495fab756251b1d2160002487ac4ef9f25d33ddc93cf32e3,2880321119,Nanouk,36,mickelott,SSF Harbinger
151,FALSE,FALSE,Benedict_Arnold,100,Necromancer,85b0c7fb503ad64d8f61c2c3c5db0dee1762a46d741c06803b72feb72844600a,4250334444,xXxDnAxXx,40,authentic1976,Harbinger
151,FALSE,TRUE,RandomBRF,100,Berserker,b3c644c482aa10edd0c09cc636a4a2e2fd03dbba3bf64e30945a1b094337e027,4250334444,Wye2491,37,null,Hardcore Harbinger
151,TRUE,FALSE,Kalliades_Sunderagain,94,Gladiator,d98630c62fa6b1d9617a6f9c5fee6e32909b38070f0d27a3242732972bb9ba1d,2708733636,Menetherin,27,null,SSF Harbinger HC
152,FALSE,FALSE,HarbingerBestLeagueEver,100,Pathfinder,2ae6e33a29dd330c2ad7847cad4e84069a144526e3f5054cb0ed1961005025e2,4250334444,Onebud,31,null,Harbinger
152,FALSE,FALSE,Cosmos_Pepe_RF,95,Berserker,62cc5721beb3bf119cca9b7bf6521d635e1a0cc46c396a372dadaff7f7348790,2880122623,Luigieee,37,null,SSF Harbinger
152,TRUE,FALSE,cascade_bane,94,Saboteur,713861d5f72ac57869e9b20589e41c7032534dc0653febdc8e20cc33ecf8a2b4,2708051206,darthbane83,35,null,SSF Harbinger HC
152,FALSE,FALSE,IllJustWalk,100,Berserker,8165785cbfb57994da3fe12f68dcba380858f4e11e30115aa4cda34dcf34e839,4250334444,Wekoyou,32,null,Hardcore Harbinger
153,FALSE,FALSE,Tse_Tse_,100,Raider,30daa967ff8b81a52fe7eda385a83f4fbe0ab703bf3fbfe1b8eea2f5fbedecca,4250334444,HybridBC,40,hybridbc,Harbinger
153,FALSE,FALSE,LiLBuffz,100,Guardian,3198c17f786add8c37377950686e682336dd4a94be4d4054ec376748c6b15812,4250334444,1c3Cr3aM,26,null,Hardcore Harbinger
153,FALSE,FALSE,yungjdvia,95,Necromancer,5360fea78088714dcca81f428a5247118dde16484504ed16cdc0455321391967,2879592752,jmn,40,null,SSF Harbinger
153,TRUE,FALSE,qregqdfgrgdwbbwfdgdfhth,94,Gladiator,f91e8d998d00e5fbfa7866f4a78008b5acd830ff81899dbe8f55eebc4915fef7,2706221547,ZyppOc,22,officialzyppo,SSF Harbinger HC
154,FALSE,FALSE,YoshiXtLight,100,Raider,09c7beef818d7c8e49b517f3164340dcecaa8136e16a22a05f320430480da0d1,4250334444,YoshiXt,36,yoshixt,Hardcore Harbinger
154,FALSE,FALSE,HakunuMatata,95,Berserker,894671722890657ac48b189e248a84618609e8c6368eaa00337df22a8d247052,2879296177,ar4ie,32,null,SSF Harbinger
154,FALSE,FALSE,timmoeezzzt_foo_rf,94,Chieftain,c8ce1c67ff50d940eb3fa2b2a6ac75fe288275e2242072123a5dcc61d08e0bdd,2698644825,timmoeezzzt,27,null,SSF Harbinger HC
154,FALSE,TRUE,ЕмГрибыСмотрюКовёр,100,Necromancer,fe8a58328e5deed7440dac5446f85a3802eeed0d23a61ef85db1fcdc0a4657c6,4250334444,Slowpoke_RU,38,unnsaint,Harbinger
155,TRUE,FALSE,SSFHarbinger_Savabong,94,Berserker,49d357ea944573a29a29705122386f27cbe267b4fe9938dbe1993b4986b37fec,2698255377,D3W,23,angrydevice,SSF Harbinger HC
155,FALSE,FALSE,NecoSRS,95,Necromancer,4a56405a95b1c21cfdc781f6964b0c23a5b8bd50513b13c2cf7d8d7106d6f96c,2878868191,peterchen89,28,null,SSF Harbinger
155,FALSE,FALSE,Zee,100,Guardian,4e43f3bc62e51901cb97ac097ceac50c46195be10d9a2ad4a332a7eccbe7be70,4250334444,Zee_Z,36,null,Hardcore Harbinger
155,FALSE,FALSE,cheechsrsbae,100,Necromancer,5302f59493b8e4afc37fad7bf2a7130dedce5fba87e96c1237654ad7b5ab3cd6,4250334444,zackpathofexile,36,null,Harbinger
156,TRUE,FALSE,GT_ligalixo_GT,94,Necromancer,0996f01255c1843b23233432b9a53c2344a68d88b5def4b926d790217664d9a8,2694272466,felipemmp,40,felipemmpp,SSF Harbinger HC
156,FALSE,FALSE,MBFearaneHarSSF,95,Berserker,0ae6457cc3480fdab41ff919178edb653a95bfbebed54437f6a7de927b6da589,2878704979,Ironical13,24,null,SSF Harbinger
156,FALSE,FALSE,ChubaThreePointOh,100,Trickster,21221f7c1ee6d3282e715104082c8f0bccdc71f6a70fb85fa86cbe35cc758e36,4250334444,chuba19,40,null,Harbinger
156,FALSE,FALSE,giggioneeeeeee,100,Gladiator,d456228240aa5407f1d3256db70ce6b372bb5180ec96bf6ae81c6d87162c131e,4250334444,giggig92,36,null,Hardcore Harbinger
157,FALSE,FALSE,HSCMELEESSFAUTISTBTW,95,Gladiator,2ea40c0d3caac1288b05a8b9a027502df3e2944e03623740d13fd206b8fbaee5,2878079727,15000ES,32,null,SSF Harbinger
157,TRUE,FALSE,rav_,94,Raider,32022b99d4aee0d4c7daf1da0007936d6a0fcb63138df27a1b2a8072fb063cb5,2691091110,Exoh,24,null,SSF Harbinger HC
157,FALSE,FALSE,Millince,100,Necromancer,b624f58d9abed2978b59dc444843dbc6f9c1e4885fb05c9d0786dae0835bc18e,4250334444,Anastasia_13_30,37,null,Harbinger
157,FALSE,FALSE,CeppED,100,Trickster,c24fc94d562f0e91f3b85a2c25786c222e85fe0d1c21660cc1de1a55244abb3b,4250334444,Cep,40,cepz,Hardcore Harbinger
158,FALSE,FALSE,Urq_glunder,95,Gladiator,6501fd0ac2e296296d0b32d6a818cbdf2d84e10fad9aed205dac203f02c283ef,2877905388,Urqhart,27,null,SSF Harbinger
158,FALSE,FALSE,fourThistles,100,Necromancer,bcc4a7e998ed65b749f84656e8c225ad51d65e19e3c68932b32fc0252f21ae47,4250334444,aeminence,39,null,Hardcore Harbinger
158,FALSE,FALSE,Sandahhhh,100,Berserker,e67f0004192de965d824912f28a7b8bd237b198c90349cdec708ea2f071dee12,4250334444,Sandah,40,null,Harbinger
158,TRUE,FALSE,ProjectPT_was_right,94,Gladiator,ead637c91d455fa0c34b1be5bcad98ba75185b1afdcd4c95e2702c08661d0cdd,2690893550,passofexhale,29,glaum,SSF Harbinger HC
159,FALSE,FALSE,DindraeHC,100,Deadeye,4553b56c155169e095d4e60225fa32fb3288e9a14b8ba074510ff6499ce8f1aa,4250334444,Thekerb,37,null,Hardcore Harbinger
159,FALSE,FALSE,LiekkiLeevi,95,Guardian,640d9938a3d90e3fe176061cc98f658408e5fd60c7eb0a762e898b874c211fc5,2877738980,kwarrio,39,null,SSF Harbinger
159,FALSE,FALSE,Wiiiiwiw,94,Necromancer,d5764f0c93e98bf3bde0830d39409887330defba6a651034e2bd63159fb1b3cb,2688194013,mimmok,27,null,SSF Harbinger HC
159,FALSE,FALSE,DarkForce,100,Necromancer,fe36262e55d2f272c00621abbcac9051c46f6da88f28855fea1ed3ef5cc8d219,4250334444,heiderhof,40,evilwalkstheearth,Harbinger
160,FALSE,FALSE,CanBe_LastTime,100,Berserker,12fd4c30ec28ffc028a711fd0602595c5781c3c666371802450d679355323b81,4250334444,lostangs1,37,null,Harbinger
160,FALSE,FALSE,Jauer_loveDan,100,Guardian,3a53f74624b4ede41009850655e43ca6b1a716e9e0a68fff7917aad643c5e14c,4250334444,DUKE_OF_SNUFF,40,jauer_poe,Hardcore Harbinger
160,TRUE,FALSE,Vaapo_hueBRinger,94,Necromancer,83570d5a8074e98eceab31501f26e9cb9994a3c552c51a6cdd22c2fcee6bf6b5,2681465504,PaavoV,29,null,SSF Harbinger HC
160,FALSE,FALSE,Ranch_it_up_Brotendo,95,Berserker,f1c5f50492de57152c4594c3d6db96cd34c423d21605a4a46eba297bf3ef4757,2877585612,AndyIsBack,39,andyistoxic,SSF Harbinger
161,FALSE,FALSE,Atiala,100,Necromancer,08b98ae679ea5660c0f060ee8e66fa419e441687a86f4180745df88dbf2ef792,4250334444,Absallon,19,null,Harbinger
161,FALSE,FALSE,ImInABeachhead,100,Slayer,1e822565d5e8d393aa47d5ff72ebfa459474453b5677600bf6b0df653d9c4321,4250334444,loloppe,40,null,Hardcore Harbinger
161,TRUE,FALSE,ShaarGladSSF,94,Gladiator,6e6bdd1f22c3739eff2dce83ebc9c5d10bef1dac2db8c421670fa7bd726fd952,2680460374,shaar,29,null,SSF Harbinger HC
161,FALSE,FALSE,TheWorldEnder,95,Ascendant,bf5a004a19cc511c3ed98bbba53a94f6404267c3c6f0005ebe57c9b3754e30a5,2877550455,edibledragon,34,null,SSF Harbinger
162,FALSE,FALSE,Worldss_,100,Guardian,1019bbc64c35b1e99b76cba2212ea9bf5006af057265f244489337754fe840ae,4250334444,Worlds91,32,null,Hardcore Harbinger
162,TRUE,FALSE,Dev_BF,94,Inquisitor,3ce60415fc653890efec07824b66e8eec712954d0c4b39477f771517dcfbe28b,2679950838,Develina,40,null,SSF Harbinger HC
162,FALSE,FALSE,DingoAttack,100,Occultist,52c6a2f6fccd704a860d2a86b9f7adca8293b72ac986fe18f5468c33cbeb62b1,4250334444,AttackDingo,38,attackdingo,Harbinger
162,FALSE,FALSE,_____A_A,95,Raider,910b074861fa5f6738530740fd5cab7409ed40790258d9d1e2b5190071ce25d4,2877496265,..A_A,32,null,SSF Harbinger
163,FALSE,FALSE,Boro_XXI,95,Berserker,614e0b0054427ce1776732bbc6d1c660858e56609fdd2adb3415a7f3a93004c8,2877034013,ArKa1n,35,null,SSF Harbinger
163,FALSE,FALSE,EmilyGreyBatteryHarbing,100,Guardian,70b1d1017f83234571a850f10f1748e92abc0003eeb141c9acb85cf3229d83b9,4250334444,ruzga,36,null,Hardcore Harbinger
163,TRUE,FALSE,Ninja_kage_SSFHHC,94,Raider,7e0bb673a3cc5b76d9a6b87c35eb26b030b600f8dab6b3725acbfbecb95bc37d,2677170602,UMAIHONE,36,null,SSF Harbinger HC
163,FALSE,FALSE,Buff_Everything,100,Guardian,f0219da4134be923f779b179a67a2c9b9356345e4ad54afefd1dfbe73b3845d3,4250334444,HERO_1349,36,hero1349,Harbinger
164,FALSE,FALSE,Whyspering,95,Saboteur,3db4f3ef16e276020315cc8a7c2bd6dd36e25c696708ec2cc58fcb101aa0bff7,2876815412,Moores,36,null,SSF Harbinger
164,FALSE,FALSE,Athingg,100,Pathfinder,56f957e135a7c30999c4d275083d20e7c24675e92224ed3f5582d3ea82249c10,4250334444,kálmah,40,null,Harbinger
164,TRUE,FALSE,nightdepression,94,Trickster,6a1f909d405efc26f98405c4de822c573847c98464b1d845c733f3df419961bf,2676949424,reinne92,26,null,SSF Harbinger HC
164,FALSE,FALSE,kussokanasiiPOE,100,Saboteur,c8d17def342e882057e377f994820f3a650fccec243b8c0d978580a07ceb1e03,4250334444,5d5d5d90,28,null,Hardcore Harbinger
165,FALSE,FALSE,EQJUGG__________BTW_SSF,94,Juggernaut,0400ec82856102c7bd51a56771166e11f859add5757291b5165f4a6da0d7bab5,2674325589,Fsfrk,34,null,SSF Harbinger HC
165,FALSE,FALSE,Onii_Nyaa,100,Raider,35ee94deacf415249e63e756ec81e2aba69e338850d8d24cbd13bb717b17fd74,4250334444,0niichan,28,null,Harbinger
165,FALSE,FALSE,YoshiXtAurabot,100,Necromancer,964cb279acf87d8a9391b37b8fee26b5a6c6ef33718d3b9d5faa8d1c96637eca,4250334444,YoshiXt,36,yoshixt,Hardcore Harbinger
165,FALSE,FALSE,YuChiaVIIIVI,95,Necromancer,ac5e52b8490f04fa0fc74c3d143e3b3e855c8651927d1bd31921b3dfd658af44,2876718883,Necro983,28,null,SSF Harbinger
166,FALSE,FALSE,DeadinactTen,100,Slayer,09687cb85fe2aa226a4507423950b540fc11f41a760d58e79e7a98a49df01e1d,4250334444,Bubbadub,28,null,Hardcore Harbinger
166,FALSE,FALSE,Maris_muffin,100,Gladiator,0e68d45372729e45b19e0309ba51be9c13716d4fc2d56a9321daadbe54e466fd,4250334444,doomdrake01,37,dddsaaa,Harbinger
166,FALSE,FALSE,Ilminion,95,Necromancer,66c1ea9ba0b246fddf5740d569d7002a6e81e5eae301825fdbe7346874a9f486,2876703375,Ilug,37,null,SSF Harbinger
166,FALSE,FALSE,RIPPED_TO_TRIVIAL_BOSS,94,Berserker,e6a3dff9e8c7de18856f2edc9326489418faa98fcdc5e2ac7e4e847429c8798d,2669035468,rEDNiNE150,37,null,SSF Harbinger HC
167,TRUE,FALSE,Dev_BoWnArrow,94,Raider,115013c5c971caa5b646065f71e79565d474ec09b5135a01db9099bae1286aab,2666533245,Develina,40,null,SSF Harbinger HC
167,FALSE,FALSE,Gravemoan,95,Necromancer,77f0372d9c6c14bb8280d6128beaeb70718eb31722c00f0afd8d1dea5d22f60f,2876609021,Tuni,36,tunipoe,SSF Harbinger
167,FALSE,FALSE,Didrika,100,Pathfinder,a314a4b4ec5afd382a34e0fc4c97edc2b1dc0386ec8424388f8a7ff6a677ed6c,4250334444,Materacyg,40,null,Harbinger
167,FALSE,FALSE,RngDodgeMaster,100,Trickster,f0f901b26d11335c3d1cb4f9276bb76e0c119146cb6c39aa4e89de486a328f0b,4250334444,Rngrofl,36,null,Hardcore Harbinger
168,FALSE,FALSE,needtodochallengespwny,100,Berserker,0584e45881ee8a8a15ac2fabdd95ddfa9f9ba09eccecb0ade20fc22e1b3d5462,4250334444,apinkpwny,37,null,Hardcore Harbinger
168,FALSE,FALSE,HenryBolingbrock,100,Berserker,2b6075ce79311c8f8f7402fb253456ae778b1392af78b1389fc8888b80f02d20,4250334444,genodiy1,27,null,Harbinger
168,FALSE,TRUE,VITTUMAINEN_SUNDER,95,Slayer,48a758befab24491b750db07ecfbbb10ddb566a92480ffc2f725b49320d081fc,2876423029,bluegray,27,null,SSF Harbinger
168,TRUE,FALSE,HeroOfMightAndMagic,94,Necromancer,8cb01126c0e4c588a269f3a2169cdbd9c0947c93488163e714ede908c76e5607,2665529288,mayjames,37,streamerrng,SSF Harbinger HC
169,FALSE,FALSE,Nomnomnommom,100,Hierophant,97c0735fe63e21c7b32413113d58d4d0574cb436678d661a716332386ef74a7c,4250334444,kansuto,28,null,Harbinger
169,FALSE,FALSE,GratuitousMenstruation,100,Gladiator,e1f2e47811710ea55c4768def93c463b6a72f4a2f4c14b7494016648ca5c9935,4250334444,Pyrokar,26,null,Hardcore Harbinger
169,TRUE,FALSE,wannafarmtten,94,Necromancer,f012435a40bb0df62a4d3a81af3113df5c46463e407f42757f176112b12a6b56,2664841065,shield05,25,null,SSF Harbinger HC
169,FALSE,FALSE,DengekiFinder,95,Pathfinder,f0872b2bd2f0142d7b3113cdda002c5536ff0b3c7eae08d90e4f0f8dc1c26c13,2876305135,UgoUgo,30,null,SSF Harbinger
170,FALSE,FALSE,Toolatefornamesahhh,100,Ascendant,3932e2adc7cfaee3464af0131ddb4845d233e3610480ec2893ff6fa25b001938,4250334444,Noitee,36,null,Hardcore Harbinger
170,FALSE,FALSE,QueenlinessWanderfinder,100,Pathfinder,5e6efc39ba4967c533218a0f595fbc54d3deb5e84da8120205ee7da8de02394f,4250334444,CRE_AGA,36,cre_aga,Harbinger
170,FALSE,FALSE,SinceroSSF,95,Berserker,a529499bea174299d7f95a7def3583a13301c709dbb99ec6da7665a555b89cd1,2876251479,kenedy1,40,null,SSF Harbinger
170,FALSE,FALSE,iBiteThePain,94,Necromancer,ec52da2d687f0af6817fdfcc1edb90cbf08567c1e93c9f3de729d9f49d6e3aa9,2658819951,Vilexica,38,vilexica,SSF Harbinger HC
171,FALSE,FALSE,MakeupTutorial,100,Pathfinder,7cfd18872f127942b44ebfd99d669d94f75d465157d4f2bc8c7c11aec2dd046f,4250334444,Contraxlol420,37,contraxlol,Harbinger
171,TRUE,FALSE,JVirtex,94,Saboteur,b0eb673c2c8d11c90e31df28a4603b00fc779292809989b11781db38e0632de8,2658074992,JVIRUS,24,null,SSF Harbinger HC
171,TRUE,FALSE,SlafeGj,100,Trickster,bd61b2e5604ad66fbc7a636bd57543fede1fd7f3db3f4f1cdb382d383c7141b8,4250334444,SlaFe,27,null,Hardcore Harbinger
171,FALSE,FALSE,BulettaMettenstein,95,Necromancer,c24bb44844b679c6cd92aa48119bc9af52fc23db6eb093edf29af12991af2ffb,2876227193,Umpalumpao0,33,null,SSF Harbinger
172,FALSE,FALSE,Rich_BV,100,Pathfinder,303c970c1a2b114a3e37820571bd69377df9a13faa9b50df688701af4da1b0dc,4250334444,Mega10,40,null,Harbinger
172,FALSE,FALSE,ScrubcoreShitter,95,Necromancer,8171db2e20928fe520a0fec7b6a1cb22f229642eb851f7ed89e6d51e487157db,2876162042,Rinko,30,rinkostar,SSF Harbinger
172,FALSE,FALSE,dammitdcagain,100,Guardian,d5d86cbb9ef1869bd62a85be2e3a5819e7edb3e8c87eb91cde79b835f04298ef,4250334444,lolCOMMANDO,28,sirgillbates,Hardcore Harbinger
172,TRUE,FALSE,HDB_ssf_Btw_haHAA,94,Chieftain,e599f0d9cbabc132f791b66cc566c53c9f1768a811cc5dba102ba080384e0dc0,2658074992,HumDaBum,29,null,SSF Harbinger HC
173,FALSE,FALSE,penisfacemcfuckass,100,Pathfinder,39d6c3f9e371786e94e7be2f7fc006a19683d2b43e2d5de20ef5dd199268a3ec,4250334444,maus3r,40,maus3r,Harbinger
173,FALSE,FALSE,Excitekike,95,Slayer,3e8ac3047dc835427e54f1acce1cdb2748f8ad21b8194e0455c4d2c8dbdb8e41,2876143757,eksded,28,null,SSF Harbinger
173,TRUE,FALSE,Nuskoginus,94,Trickster,748220367c55749214c4c50817fcb3b29e5fca28f097b7e82777a062ad559ff2,2658074992,Ciroquel,36,null,SSF Harbinger HC
173,FALSE,FALSE,skwilla_doin_work,100,Slayer,af74189b16c5226e2a722cef371b10bf959e6c991ea316201d5332614939e824,4250334444,swoozers,40,null,Hardcore Harbinger
174,FALSE,FALSE,TitanRuler,95,Necromancer,3cb9960d8aaa290e8b16ec0a08b774b6ea5fa93b46530ac5bd7984820fb5dcfb,2876138251,Crockerz,29,null,SSF Harbinger
174,FALSE,FALSE,V_Vx,100,Guardian,51bbc056a34b298728e45f9944612609c830b92a365dcf54380cddb4ccebb377,4250334444,Dunaj,37,null,Hardcore Harbinger
174,TRUE,FALSE,CrapCoreXXX,94,Inquisitor,6784c6dc1a80260c6ebae651d83099aa663d72f07a01ce85d892bbd4865e1432,2658074992,JustRace,25,crapcore,SSF Harbinger HC
174,FALSE,FALSE,BigBootyBlaster_,100,Pathfinder,f1a6362911c3743a78db151fbb1f99460d7f805d2a7721967463489916c0d727,4250334444,Plopasaurus,26,null,Harbinger
175,TRUE,FALSE,BogokOutOfNames,94,Occultist,354ea54f2029d826a53a05c58954039e2817f2b50b1463b9e4d4aed8047b5560,2658074992,Bogok,35,bogurk,SSF Harbinger HC
175,FALSE,TRUE,IPlaySSFBTW,95,Gladiator,63c9871f50f53b5566cc59c0d2f340fad54f03b5cc8db57da13e2fd2a39a3a68,2876116901,ProductofLuck,35,null,SSF Harbinger
175,FALSE,FALSE,FckedByPalms,100,Saboteur,b6aa86c42e911a88f640df7d8fb1cebd3a7ce35ba336911f8666f9e92dbbdc4e,4250334444,miosa,36,null,Hardcore Harbinger
175,FALSE,FALSE,Xagulzzz,100,Pathfinder,d04c404557d6ac56591a4ca939672d5bb4d71881469255f8a451819381dc2570,4250334444,Xagulz,40,null,Harbinger
176,TRUE,FALSE,Neosparda,100,Gladiator,0760318614d2cb08f7da2f1de8987f8342ea8ba27ca15f4d153f17b17cbbb805,4250334444,Hizakite,29,null,Hardcore Harbinger
176,FALSE,FALSE,sundersaitoh,95,Gladiator,4cb8147106676e1aa1df9123dd4e1ce34841e04bd8253f22219bb918bf039b73,2876116901,otsuyuman,30,null,SSF Harbinger
176,FALSE,FALSE,Ertywert,100,Elementalist,536d12d2c747a59606f6b6658441efb1d753f9c035d450f0ba49c7de735aaf38,4250334444,k33s69,37,kesoga,Harbinger
176,TRUE,FALSE,SarromRF,94,Berserker,9d280224ab9b244325e74da1e250d8db12b070663fea4d5e1a9a91d519c85812,2658074992,Sarrom107,27,null,SSF Harbinger HC
177,TRUE,FALSE,GALS,100,Raider,49be177829d3b41aa5e1ac31e492338ec386df35b6d42d7488bda1473c92e7d4,4250334444,gal4214,36,null,Hardcore Harbinger
177,FALSE,FALSE,JankHarbingerBow,100,Raider,97368602df017c7782e4b7ec9143e69d6ed8bb8b187f62c683dd45b2fa4afe6f,4250334444,JustJank,40,justjank,Harbinger
177,TRUE,FALSE,MasaoSSFSunderD,94,Gladiator,cff8242e429779d496f8869233ab4f9cba3d8e4e8fa1750fe656241c2a916172,2658074992,n10o,36,null,SSF Harbinger HC
177,FALSE,FALSE,Nirvana_Athena,95,Pathfinder,e7b7b6775d7933bffcc9ec7fb949e19940a77afab1bdb559e9ceead86c6c304b,2876116901,DeathNirvana,34,deathnirvana,SSF Harbinger
178,FALSE,FALSE,EpicBowBro,100,Slayer,0715ff295f9ce26764e461ef16643792bfda918c2722acc2f4e3b08ccf7c316b,4250334444,pathofexilegod,33,epictelevision,Harbinger
